roi_i,roi_j,label_i,label_j,network_i,network_j,same_network,fc_fisherz
0,1,7Networks_LH_Vis_1,7Networks_LH_Vis_2,Vis,Vis,1,0.6536979533683228
0,2,7Networks_LH_Vis_1,7Networks_LH_Vis_3,Vis,Vis,1,0.5504834762940316
0,3,7Networks_LH_Vis_1,7Networks_LH_Vis_4,Vis,Vis,1,0.7090730860821436
0,4,7Networks_LH_Vis_1,7Networks_LH_Vis_5,Vis,Vis,1,0.6244256635283935
0,5,7Networks_LH_Vis_1,7Networks_LH_Vis_6,Vis,Vis,1,0.5009356718331318
0,6,7Networks_LH_Vis_1,7Networks_LH_Vis_7,Vis,Vis,1,0.4547580991360879
0,7,7Networks_LH_Vis_1,7Networks_LH_Vis_8,Vis,Vis,1,0.5258822513746598
0,8,7Networks_LH_Vis_1,7Networks_LH_Vis_9,Vis,Vis,1,0.49512735533466434
0,9,7Networks_LH_Vis_1,7Networks_LH_Vis_10,Vis,Vis,1,0.654957777217615
0,10,7Networks_LH_Vis_1,7Networks_LH_Vis_11,Vis,Vis,1,0.6249345479595307
0,11,7Networks_LH_Vis_1,7Networks_LH_Vis_12,Vis,Vis,1,0.6520617884980927
0,12,7Networks_LH_Vis_1,7Networks_LH_Vis_13,Vis,Vis,1,0.6868158890405189
0,13,7Networks_LH_Vis_1,7Networks_LH_Vis_14,Vis,Vis,1,0.6496812479397048
0,14,7Networks_LH_Vis_1,7Networks_LH_SomMot_1,Vis,SomMot,0,-0.09086233681679257
0,15,7Networks_LH_Vis_1,7Networks_LH_SomMot_2,Vis,SomMot,0,0.3350100539852178
0,16,7Networks_LH_Vis_1,7Networks_LH_SomMot_3,Vis,SomMot,0,0.16774013846762995
0,17,7Networks_LH_Vis_1,7Networks_LH_SomMot_4,Vis,SomMot,0,0.30940736793632595
0,18,7Networks_LH_Vis_1,7Networks_LH_SomMot_5,Vis,SomMot,0,0.23312030735531594
0,19,7Networks_LH_Vis_1,7Networks_LH_SomMot_6,Vis,SomMot,0,0.31117708244952375
0,20,7Networks_LH_Vis_1,7Networks_LH_SomMot_7,Vis,SomMot,0,0.41522633364608846
0,21,7Networks_LH_Vis_1,7Networks_LH_SomMot_8,Vis,SomMot,0,0.30729033331437716
0,22,7Networks_LH_Vis_1,7Networks_LH_SomMot_9,Vis,SomMot,0,0.35367257955667514
0,23,7Networks_LH_Vis_1,7Networks_LH_SomMot_10,Vis,SomMot,0,0.45751519908364174
0,24,7Networks_LH_Vis_1,7Networks_LH_SomMot_11,Vis,SomMot,0,0.29807365764442373
0,25,7Networks_LH_Vis_1,7Networks_LH_SomMot_12,Vis,SomMot,0,0.2245351411088981
0,26,7Networks_LH_Vis_1,7Networks_LH_SomMot_13,Vis,SomMot,0,0.21895339310681194
0,27,7Networks_LH_Vis_1,7Networks_LH_SomMot_14,Vis,SomMot,0,0.19869975295189657
0,28,7Networks_LH_Vis_1,7Networks_LH_SomMot_15,Vis,SomMot,0,0.3525250591818645
0,29,7Networks_LH_Vis_1,7Networks_LH_SomMot_16,Vis,SomMot,0,0.17238897775144807
0,30,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_1,Vis,DorsAttn,0,0.6189975148669876
0,31,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_2,Vis,DorsAttn,0,0.4244811891959849
0,32,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_3,Vis,DorsAttn,0,0.41367563353422926
0,33,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_4,Vis,DorsAttn,0,0.2826315483179763
0,34,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_5,Vis,DorsAttn,0,0.10412927577470459
0,35,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_6,Vis,DorsAttn,0,0.1919888409622063
0,36,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_7,Vis,DorsAttn,0,0.4102153902564705
0,37,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_8,Vis,DorsAttn,0,0.4125893218492265
0,38,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_9,Vis,DorsAttn,0,0.23025447821319847
0,39,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_10,Vis,DorsAttn,0,0.2885975045836099
0,40,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_FEF_1,Vis,DorsAttn,0,0.2528849382824691
0,41,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_FEF_2,Vis,DorsAttn,0,0.06212401740448701
0,42,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_PrCv_1,Vis,DorsAttn,0,0.29247254719321814
0,43,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_ParOper_1,Vis,SalVentAttn,0,0.27511673093060535
0,44,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_ParOper_2,Vis,SalVentAttn,0,0.28946043618917383
0,45,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_ParOper_3,Vis,SalVentAttn,0,0.01381531829073141
0,46,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_FrOperIns_1,Vis,SalVentAttn,0,0.07266184119479357
0,47,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_FrOperIns_2,Vis,SalVentAttn,0,0.12309680286713318
0,48,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_FrOperIns_3,Vis,SalVentAttn,0,0.17206788055688152
0,49,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_FrOperIns_4,Vis,SalVentAttn,0,0.20754423231021796
0,50,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_PFCl_1,Vis,SalVentAttn,0,0.10150698315101056
0,51,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_Med_1,Vis,SalVentAttn,0,0.2531677255216521
0,52,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_Med_2,Vis,SalVentAttn,0,0.4984225202605967
0,53,7Networks_LH_Vis_1,7Networks_LH_SalVentAttn_Med_3,Vis,SalVentAttn,0,0.11160759279342258
0,54,7Networks_LH_Vis_1,7Networks_LH_Limbic_OFC_1,Vis,Limbic,0,0.18627695871934122
0,55,7Networks_LH_Vis_1,7Networks_LH_Limbic_OFC_2,Vis,Limbic,0,0.11188520008859507
0,56,7Networks_LH_Vis_1,7Networks_LH_Limbic_TempPole_1,Vis,Limbic,0,0.19745013023298413
0,57,7Networks_LH_Vis_1,7Networks_LH_Limbic_TempPole_2,Vis,Limbic,0,0.45569441067714456
0,58,7Networks_LH_Vis_1,7Networks_LH_Limbic_TempPole_3,Vis,Limbic,0,0.3015182743156007
0,59,7Networks_LH_Vis_1,7Networks_LH_Limbic_TempPole_4,Vis,Limbic,0,0.0696877685187847
0,60,7Networks_LH_Vis_1,7Networks_LH_Cont_Par_1,Vis,Cont,0,-0.015796147789667873
0,61,7Networks_LH_Vis_1,7Networks_LH_Cont_Par_2,Vis,Cont,0,0.17515689856824418
0,62,7Networks_LH_Vis_1,7Networks_LH_Cont_Par_3,Vis,Cont,0,0.12699013885681348
0,63,7Networks_LH_Vis_1,7Networks_LH_Cont_Temp_1,Vis,Cont,0,0.23054857951201502
0,64,7Networks_LH_Vis_1,7Networks_LH_Cont_OFC_1,Vis,Cont,0,0.058750933694042405
0,65,7Networks_LH_Vis_1,7Networks_LH_Cont_PFCl_1,Vis,Cont,0,0.04647961298540003
0,66,7Networks_LH_Vis_1,7Networks_LH_Cont_PFCl_2,Vis,Cont,0,0.03651834587046291
0,67,7Networks_LH_Vis_1,7Networks_LH_Cont_PFCl_3,Vis,Cont,0,0.14541538277690508
0,68,7Networks_LH_Vis_1,7Networks_LH_Cont_PFCl_4,Vis,Cont,0,0.09170770249893027
0,69,7Networks_LH_Vis_1,7Networks_LH_Cont_PFCl_5,Vis,Cont,0,0.13155205254344496
0,70,7Networks_LH_Vis_1,7Networks_LH_Cont_pCun_1,Vis,Cont,0,0.3268414399282525
0,71,7Networks_LH_Vis_1,7Networks_LH_Cont_Cing_1,Vis,Cont,0,0.18586628638835231
0,72,7Networks_LH_Vis_1,7Networks_LH_Cont_Cing_2,Vis,Cont,0,0.18754561448092236
0,73,7Networks_LH_Vis_1,7Networks_LH_Default_Temp_1,Vis,Default,0,0.2463145469391408
0,74,7Networks_LH_Vis_1,7Networks_LH_Default_Temp_2,Vis,Default,0,0.15850018852409128
0,75,7Networks_LH_Vis_1,7Networks_LH_Default_Temp_3,Vis,Default,0,0.18079116840384063
0,76,7Networks_LH_Vis_1,7Networks_LH_Default_Temp_4,Vis,Default,0,0.15667288087813874
0,77,7Networks_LH_Vis_1,7Networks_LH_Default_Temp_5,Vis,Default,0,0.33450979608596476
0,78,7Networks_LH_Vis_1,7Networks_LH_Default_Par_1,Vis,Default,0,0.34441200170926506
0,79,7Networks_LH_Vis_1,7Networks_LH_Default_Par_2,Vis,Default,0,0.3273364542535694
0,80,7Networks_LH_Vis_1,7Networks_LH_Default_Par_3,Vis,Default,0,0.054680264594638914
0,81,7Networks_LH_Vis_1,7Networks_LH_Default_Par_4,Vis,Default,0,0.07845438940617429
0,82,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_1,Vis,Default,0,0.0517347380645762
0,83,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_2,Vis,Default,0,0.17878941804587214
0,84,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_3,Vis,Default,0,0.003103460911615194
0,85,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_4,Vis,Default,0,0.09075633349815962
0,86,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_5,Vis,Default,0,0.12689461307144118
0,87,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_6,Vis,Default,0,0.17648030548780977
0,88,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_7,Vis,Default,0,0.07287842355042946
0,89,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_8,Vis,Default,0,0.21103804391298703
0,90,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_9,Vis,Default,0,0.08358212717262073
0,91,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_10,Vis,Default,0,0.013698592140029626
0,92,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_11,Vis,Default,0,-0.03007702291703897
0,93,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_12,Vis,Default,0,0.07244419157580648
0,94,7Networks_LH_Vis_1,7Networks_LH_Default_PFC_13,Vis,Default,0,0.021744818093029392
0,95,7Networks_LH_Vis_1,7Networks_LH_Default_pCunPCC_1,Vis,Default,0,0.47428382284818227
0,96,7Networks_LH_Vis_1,7Networks_LH_Default_pCunPCC_2,Vis,Default,0,0.15210457194322355
0,97,7Networks_LH_Vis_1,7Networks_LH_Default_pCunPCC_3,Vis,Default,0,0.2515264610147355
0,98,7Networks_LH_Vis_1,7Networks_LH_Default_pCunPCC_4,Vis,Default,0,0.23474549304296097
0,99,7Networks_LH_Vis_1,7Networks_LH_Default_PHC_1,Vis,Default,0,0.5807821484322864
0,100,7Networks_LH_Vis_1,7Networks_RH_Vis_1,Vis,Vis,1,0.4164101998095453
0,101,7Networks_LH_Vis_1,7Networks_RH_Vis_2,Vis,Vis,1,0.6377910823630596
0,102,7Networks_LH_Vis_1,7Networks_RH_Vis_3,Vis,Vis,1,0.6649043367295706
0,103,7Networks_LH_Vis_1,7Networks_RH_Vis_4,Vis,Vis,1,0.64347472213961
0,104,7Networks_LH_Vis_1,7Networks_RH_Vis_5,Vis,Vis,1,0.5226838621228204
0,105,7Networks_LH_Vis_1,7Networks_RH_Vis_6,Vis,Vis,1,0.40493075928118066
0,106,7Networks_LH_Vis_1,7Networks_RH_Vis_7,Vis,Vis,1,0.6951151511552573
0,107,7Networks_LH_Vis_1,7Networks_RH_Vis_8,Vis,Vis,1,0.5582252518564764
0,108,7Networks_LH_Vis_1,7Networks_RH_Vis_9,Vis,Vis,1,0.5656019452986922
0,109,7Networks_LH_Vis_1,7Networks_RH_Vis_10,Vis,Vis,1,0.6598628069578691
0,110,7Networks_LH_Vis_1,7Networks_RH_Vis_11,Vis,Vis,1,0.5729186482624234
0,111,7Networks_LH_Vis_1,7Networks_RH_Vis_12,Vis,Vis,1,0.4490331828437066
0,112,7Networks_LH_Vis_1,7Networks_RH_Vis_13,Vis,Vis,1,0.700514643091525
0,113,7Networks_LH_Vis_1,7Networks_RH_Vis_14,Vis,Vis,1,0.4928928927533052
0,114,7Networks_LH_Vis_1,7Networks_RH_Vis_15,Vis,Vis,1,0.5247422835209486
0,115,7Networks_LH_Vis_1,7Networks_RH_SomMot_1,Vis,SomMot,0,0.2950204291002504
0,116,7Networks_LH_Vis_1,7Networks_RH_SomMot_2,Vis,SomMot,0,0.4178815244581222
0,117,7Networks_LH_Vis_1,7Networks_RH_SomMot_3,Vis,SomMot,0,0.2942857840464357
0,118,7Networks_LH_Vis_1,7Networks_RH_SomMot_4,Vis,SomMot,0,0.06515405004979215
0,119,7Networks_LH_Vis_1,7Networks_RH_SomMot_5,Vis,SomMot,0,0.11241907293182866
0,120,7Networks_LH_Vis_1,7Networks_RH_SomMot_6,Vis,SomMot,0,0.1731744527496061
0,121,7Networks_LH_Vis_1,7Networks_RH_SomMot_7,Vis,SomMot,0,0.37606125693633363
0,122,7Networks_LH_Vis_1,7Networks_RH_SomMot_8,Vis,SomMot,0,0.296555507494659
0,123,7Networks_LH_Vis_1,7Networks_RH_SomMot_9,Vis,SomMot,0,0.2849808285079482
0,124,7Networks_LH_Vis_1,7Networks_RH_SomMot_10,Vis,SomMot,0,0.5497236972610785
0,125,7Networks_LH_Vis_1,7Networks_RH_SomMot_11,Vis,SomMot,0,0.2674062328934719
0,126,7Networks_LH_Vis_1,7Networks_RH_SomMot_12,Vis,SomMot,0,0.32741846306770384
0,127,7Networks_LH_Vis_1,7Networks_RH_SomMot_13,Vis,SomMot,0,0.38300593570571195
