tag_a,tag_b,k_matched,mean_matched_r,median_matched_r,min_matched_r,n_above_threshold
seed-1,seed-2,20,0.8512830642063653,0.9435002773827962,0.5117407051747372,16
seed-1,seed-3,20,0.8191902722204537,0.8983711425536223,0.2623521830354792,15
seed-1,seed-4,20,0.953386214945618,0.9773784081953776,0.6359508733814495,19
seed-1,seed-5,20,0.9962496622253585,0.9976967602470648,0.9885124378329628,20
seed-2,seed-3,20,0.8587971529284653,0.9299158535944094,0.4562143255008339,19
seed-2,seed-4,20,0.8400462659407031,0.9067536794043487,0.44880920531854657,15
seed-2,seed-5,20,0.8635342009237508,0.9550201613710125,0.5713841626534857,16
seed-3,seed-4,20,0.8127355103997422,0.8685549590811217,0.5371746099524556,15
seed-3,seed-5,20,0.8321732838561127,0.9102496754326745,0.47079204289975385,15
seed-4,seed-5,20,0.9441150132693418,0.9645664162676129,0.597134328075657,19
