component_index,mean_matched_r,std_matched_r,robust
0,0.9649379740210483,0.04309465435839344,True
1,0.9099219884449107,0.1310939292390029,True
2,0.9588410726263137,0.030770107716176495,True
3,0.974213498968727,0.03189896878399415,True
4,0.9877147856941384,0.010832246524022421,True
5,0.9629887295482383,0.040072130129112586,True
6,0.9833007686226323,0.0245829933213611,True
7,0.977101715500377,0.015517835401187646,True
8,0.8459087603951393,0.19595331438522853,True
9,0.8718946003157139,0.09847729869790307,True
10,0.9266091149344076,0.09760176192134591,True
11,0.7410238668618099,0.2960619042533765,True
12,0.7959123616807309,0.18844276383546876,True
13,0.8823805134494515,0.0868730949035903,True
14,0.8217677298095907,0.15141521158306398,True
15,0.8779042540374956,0.18245612037849143,True
16,0.9846781353266827,0.022608865633142548,True
17,0.740352292549771,0.15617229811556668,True
18,0.9887805515824118,0.011911421333444019,True
19,0.9043133536193864,0.10068351908463571,True
