network_pair,mean_fc,n_edges
Cont__Cont,0.3291649523662552,435
Cont__Default,0.21410019926226528,1380
Cont__DorsAttn,0.26440144848082,780
Cont__Limbic,0.1393762316470661,360
Cont__SalVentAttn,0.28202561443375795,660
Cont__SomMot,0.18215781189600713,1050
Cont__Vis,0.1286386425145905,870
Default__Default,0.34860982062030654,1035
Default__DorsAttn,0.12670040141789848,1196
Default__Limbic,0.18186307549049313,552
Default__SalVentAttn,0.17489231502398717,1012
Default__SomMot,0.16650762228344218,1610
Default__Vis,0.15129627100129467,1334
DorsAttn__DorsAttn,0.49041844300115667,325
DorsAttn__Limbic,0.15941191070749525,312
DorsAttn__SalVentAttn,0.30663377524955276,572
DorsAttn__SomMot,0.31149640848993493,910
DorsAttn__Vis,0.383106267104145,754
Limbic__Limbic,0.19112635613953416,66
Limbic__SalVentAttn,0.1329618773464209,264
Limbic__SomMot,0.1410265857963089,420
Limbic__Vis,0.22866127207487913,348
SalVentAttn__SalVentAttn,0.3919057180686331,231
SalVentAttn__SomMot,0.3213553025553647,770
SalVentAttn__Vis,0.19268513730118417,638
SomMot__SomMot,0.4463730230529036,595
SomMot__Vis,0.2785829414324199,1015
Vis__Vis,0.7154310764955194,406
