new_index,original_index,network
0,0,Vis
1,1,Vis
2,2,Vis
3,3,Vis
4,4,Vis
5,5,Vis
6,6,Vis
7,7,Vis
8,8,Vis
9,9,Vis
10,10,Vis
11,11,Vis
12,12,Vis
13,13,Vis
14,100,Vis
15,101,Vis
16,102,Vis
17,103,Vis
18,104,Vis
19,105,Vis
20,106,Vis
21,107,Vis
22,108,Vis
23,109,Vis
24,110,Vis
25,111,Vis
26,112,Vis
27,113,Vis
28,114,Vis
29,14,SomMot
30,15,SomMot
31,16,SomMot
32,17,SomMot
33,18,SomMot
34,19,SomMot
35,20,SomMot
36,21,SomMot
37,22,SomMot
38,23,SomMot
39,24,SomMot
40,25,SomMot
41,26,SomMot
42,27,SomMot
43,28,SomMot
44,29,SomMot
45,115,SomMot
46,116,SomMot
47,117,SomMot
48,118,SomMot
49,119,SomMot
50,120,SomMot
51,121,SomMot
52,122,SomMot
53,123,SomMot
54,124,SomMot
55,125,SomMot
56,126,SomMot
57,127,SomMot
58,128,SomMot
59,129,SomMot
60,130,SomMot
61,131,SomMot
62,132,SomMot
63,133,SomMot
64,30,DorsAttn
65,31,DorsAttn
66,32,DorsAttn
67,33,DorsAttn
68,34,DorsAttn
69,35,DorsAttn
70,36,DorsAttn
71,37,DorsAttn
72,38,DorsAttn
73,39,DorsAttn
74,40,DorsAttn
75,41,DorsAttn
76,42,DorsAttn
77,134,DorsAttn
78,135,DorsAttn
79,136,DorsAttn
80,137,DorsAttn
81,138,DorsAttn
82,139,DorsAttn
83,140,DorsAttn
84,141,DorsAttn
85,142,DorsAttn
86,143,DorsAttn
87,144,DorsAttn
88,145,DorsAttn
89,146,DorsAttn
90,43,SalVentAttn
91,44,SalVentAttn
92,45,SalVentAttn
93,46,SalVentAttn
94,47,SalVentAttn
95,48,SalVentAttn
96,49,SalVentAttn
97,50,SalVentAttn
98,51,SalVentAttn
99,52,SalVentAttn
100,53,SalVentAttn
101,147,SalVentAttn
102,148,SalVentAttn
103,149,SalVentAttn
104,150,SalVentAttn
105,151,SalVentAttn
106,152,SalVentAttn
107,153,SalVentAttn
108,154,SalVentAttn
109,155,SalVentAttn
110,156,SalVentAttn
111,157,SalVentAttn
112,54,Limbic
113,55,Limbic
114,56,Limbic
115,57,Limbic
116,58,Limbic
117,59,Limbic
118,158,Limbic
119,159,Limbic
120,160,Limbic
121,161,Limbic
122,162,Limbic
123,163,Limbic
124,60,Cont
125,61,Cont
126,62,Cont
127,63,Cont
128,64,Cont
129,65,Cont
130,66,Cont
131,67,Cont
132,68,Cont
133,69,Cont
134,70,Cont
135,71,Cont
136,72,Cont
137,164,Cont
138,165,Cont
139,166,Cont
140,167,Cont
141,168,Cont
142,169,Cont
143,170,Cont
144,171,Cont
145,172,Cont
146,173,Cont
147,174,Cont
148,175,Cont
149,176,Cont
150,177,Cont
151,178,Cont
152,179,Cont
153,180,Cont
154,73,Default
155,74,Default
156,75,Default
157,76,Default
158,77,Default
159,78,Default
160,79,Default
161,80,Default
162,81,Default
163,82,Default
164,83,Default
165,84,Default
166,85,Default
167,86,Default
168,87,Default
169,88,Default
170,89,Default
171,90,Default
172,91,Default
173,92,Default
174,93,Default
175,94,Default
176,95,Default
177,96,Default
178,97,Default
179,98,Default
180,99,Default
181,181,Default
182,182,Default
183,183,Default
184,184,Default
185,185,Default
186,186,Default
187,187,Default
188,188,Default
189,189,Default
190,190,Default
191,191,Default
192,192,Default
193,193,Default
194,194,Default
195,195,Default
196,196,Default
197,197,Default
198,198,Default
199,199,Default
